9919	2007	synthesis unsaturated piperidines piperidones silyl reagent
11051	2007	mass air flow sensor signal compensation system
11239	2007	reserving resources data streams communication network
11337	2007	dynamically configurable logic gate using nonlinear element
11525	2007	silicon nitride body method manufacture
11647	2007	apparatus methods electrolyzed water
15886	2007	assembly associated method providing follow information regarding received content
16122	2007	pulverulent material transport
16896	2007	cyclopamine analogs
28124	2007	weapon mount
28700	2007	herpes simplex virus combined subunit vaccines methods use thereof
28756	2007	apparatuses methods facilitate transfer power information among electrical devices
28900	2007	device monitoring system method monitoring
29012	2007	device method measuring property downhole apparatus
29180	2007	motion desktop
29326	2007	selecting manipulating web content
29814	2008	methods compositions assessment treatment asthma
29960	2008	rolltoroll method system microreplication pattern large relief threedimensional microstructures
29976	2008	multi parallax exploitation omnidirectional imaging electronic eye
30290	2008	multiprefix interactive mobile search
30494	2008	document processing system providing job attribute control override features related methods
30576	2008	rechargeable personal massager
37243	2007	method apparatus detecting inconsistencies cured resin structures
37313	2007	propylene production
37385	2007	enzymeassisted deemulsification aqueous lipid extracts
37399	2007	method system gateway communication
37545	2007	bidirectional connector assembly implantable medical device
37549	2007	subjective wavefront refraction using continuously adjustable wave plates zernike function
38107	2008	systems methods computerusable medium defragmenting windows nt file system volume
38109	2008	method using squalene monooxygenase inhibitors treat acne
38111	2008	system methods selfdecontaminating surface
39057	2008	apparatus method packaging siding panels
47268	2008	elastomer lined abrasion resistant pipe method manufacture
47794	2008	paperboard security package
47908	2008	biaxiallyoriented metallocenebased polypropylene films reduced thickness
48122	2008	probe transesophageal echocardiography ergonomic controls
48352	2008	fluidcooled vibratory apparatus system method cooling
62372	2007	configuration synchronization electronic gaming machines supporting server
62560	2007	system comprising bioreactor source generating light via combustion
62858	2008	new laser uses singlecrystal cvd diamond
63044	2008	liquid compositions containing s abscisic acid combination selected lipophilic agents methods preparation
63108	2008	fluidic methods
63364	2008	private virtual lan spanning public network connection arbitrary hosts
